book,[ buk ],书
Unit 5 Streets,[ stri:ts ] ,街道
street,[ stri:t ],街道
van,[ væn ],客货车
taxi,[ tæksi ],出租车
bicycle,[ baisik(ə)l ],自行车
subway,[ sʌbwei ],地铁
subway station,[ sʌbwei ] [ steiʃən ],地铁站
traffic light,[ træfik ] [ lait ],交通灯
bus stop,[ bʌs ] [ stɔp ],公共汽车站
supermarket,[ sju:pə.mɑ:kit ],超级市场
book store,[ buk ] [ stɔ: ],书店
school,[ sku:l ],学校
hospital,[ hɔspitl ],医院
zoo,[ zu: ],动物园
stop,[ stɔp ],停下来
wait,[ weit ],等候
go,[ gəu ],走
Unit 6 Beijing,[ bei'dʒi:n ] ,北京
Beijing,[ bei'dʒi:n ],北京
Tiananmen Square,,天安门广场
the Great Wall,[ ðə ] [ greit ] [ wɔ:l ],长城
the Summer Palace,[ ðə ] [ sʌmə ] [ pælis ],颐和园
the Forbidden City,[ ðə ] [ fə'bidn ] [ siti ],紫禁城
Temple of Heaven,[ templ ] [ ɔv ] [ hevən ],天坛
Beijing Opera,[ bei'dʒi:n ] [ ɔpərə ],京剧
Temple Fair,[ templ ] [ fɛə ],庙会
great,[ greit ],伟大的；大的
Unit 7 Festivals,[ festəvəlz ] ,节日
festival,[ festəvəl ],节日
merry,[ meri ],愉快的
Christmas,[ krisməs ],圣诞节
Christmas tree,[ krisməs ] [ tri: ],圣诞树
Santa Claus,[ sæntə ] [ klaus ],圣诞老人
bell,[ bel ],铃
present,[ pri'zent ],礼物
card,[ kɑ:d ],明信片
stocking,[ stɔkiŋ ],长袜
happy,[ hæpi ],快乐的
Spring Festival,[ spriŋ ] [ festəvəl ],春节
dragon dance,[ drægən ] [ dɑ:ns ],舞龙
paper-cut,[ peipə ] [ kʌt ],剪纸
lantern,[ læntən ],灯笼
Hong Kong,[ hɔŋ ] [ kɔŋ ],香港
Toronto,[ tə'rɔntəu ],多伦多
Sydney,[ sidni ],悉尼
rat,[ ræt ],鼠
ox,[ ɔks ],牛
dragon,[ drægən ],龙
snake,[ sneik ],蛇
horse,[ hɔ:s ],马
sheep,[ ʃi:p ],羊
rooster,[ ru:stə ],鸡
pig,[ pig ],猪
New Year,[ nju: ] [ jə: ],新年
Unit 8 Revision,[ ri'viʒən ] ,复习
sofa,[ səufə ],沙发
Unit 9 Seasons,[ si:zns ] ,季节
season,[ si:zn ],季节
spring,[ spriŋ ],春季
summer,[ sʌmə ],夏季
fall,[ fɔ:l ],秋季
winter,[ wintə ],冬季
bright,[ brait ],明亮的
golden,[ gəuldən ],金色的
plant,[ plɑ:nt ],种植
swim,[ swim ],游泳
climb,[ klaim ],攀登；爬
make,[ meik ],制造
snowman,[ snəʊmæn ],雪人
fly,[ flai ],放（风筝）
kite,[ kait ],风筝
sleep,[ sli:p ],睡觉
Unit 10 Weather,[ weðə ] ,天气
weather,[ weðə ],天气
sunny,[ sʌni ],晴朗的
cloudy,[ klaudi ],多云的
rainy,[ reini ],下雨的
windy,[ windi ],有风的
snowy,[ snəʊi ],有雪的
cold,[ kəuld ],冷的
cool,[ ku:l ],凉爽的
warm,[ wɔ:m ],温暖的
hot,[ hɔt ],热的
day,[ dei ],天
scarf,[ skɑ:f ],围巾
sunglasses,[ sʌnglɑ:siz ],太阳镜（复数）
coat,[ kəut ],外套；大衣
like,[ laik ],像；如何（指天气）
today,[ tə'dei ],今天
raincoat,[ reinkəʊt ],雨衣
umbrella,[ ʌm'brelə ],雨伞
Unit 11 PE Class,[ pei ] [ klɑ:s ] ,体育课
PE,[ pei ],体育（课）
class,[ klɑ:s ],课
can,[ kæn ],能
throw,[ θrəu ],投；掷
jump,[ dʒʌmp ],跳跃
catch,[ kætʃ ],接住（运动的物体）
walk,[ wɔ:k ],走
run,[ rʌn ],跑
kick,[ kik ],踢
bounce,[ bauns ],拍（球）
very well,[ veri ] [ wel ],非常好
play,[ plei ],玩（球）
pingpong,[ piŋpɔŋ ],乒乓球
rope,[ rəup ],绳
football,[ futbɔ:l ],足球
can't,[ kɑ:nt ],不能；=can not
swing,[ swiŋ ],秋千
jungle gym,[ dʒʌŋgl ] [ dʒim ],攀登架
seesaw,[ si:sɔ: ],跷跷板
slide,[ slaid ],滑梯
line up,[ lain ] [ ʌp ],整队
at ease,[ æt ] [ i:z ],稍息
attention,[ ə'tenʃən ],立正
count off,[ kaʊnt ] [ ɔ:f ],报数
turn left,[ tə:n ] [ left ],向左转
turn right,[ tə:n ] [ rait ],向右转
Unit 13 Time,[ taim ] ,时间
time,[ taim ],时间
o'clock,[ ə'klɔk ],钟点
It's time for...,[ its ] [ taim ] [ fɔ: ],到......的时间了
breakfast,[ brekfəst ],早餐
lunch,[ lʌntʃ ],午餐
