book,[ buk ],书
principal,['prinsəp(ə)l¸ -sip-],校长
sun,[sʌn],太阳
moon,[mu:n],月亮
ocean,['əuʃən],海洋
cloud,[klaud],云
robot,['rəubɔt¸ 'rɔbət],机器人
housework,['hausw:k],家务劳动
pollution,[pə'lu:ʃən¸ -'lju:-],污染
pill,[pil],药片
peace,[pi:s],和平
earth,[ə:θ],地球
spaceship,['speisʃip],宇宙飞船
Mars,[ma:z],火星
attend,[ə'tend],出席:上学
software,['sɔftwɛə],软件
develop,[di'veləp],发展
basic,['beisik],基本的
personal,['pə:sənl],个人的
leader,['li:də],领导
knock,[nɔk],敲
quickly,['kwɪklɪ],很快地
nut,[nʌt],坚果:干果
claw,[klɔ:],爪子
lock,[lɔk],锁
unite 10,,
common,['kɔmən],普通的:一般的
moose,[mu:s],北美麋鹿:驯鹿
modern,['mɔdən],现代的
once,[wʌns],从前
bored,,枯燥的:无趣的
push,[puʃ],推
everywhere,['evrihwɛə],到处
poor,[puə],可怜的
fantasy,['fæntəsi¸ 'fæntəzi],幻想
reason,['ri:zn],理由
sign,[sain],标牌
photography,[fə'tɔgrəfi],摄影:照相
folder,['fəuldə],夹子
unit 13,,
fire,['faiə],火
bloom,[blu:m],盛开
temperature,['temprɪtʃə(r)],温度
degree,[dɪ'gri:],度数
during,['djuəriŋ],在...的期间
seed,[si:d],种子
return,[ri'tə:n],返回
example,[ig'za:mpl¸ ig'zæm-],例子
cost,[kɔst],花费
however,[hau'evə],然而
decide,[di'said],决定
Italian,[i'tæljən],意大利人
Korean,[kə'rɪən],韩国人:韩语
Vancouver,[væn'ku:və],温哥华(加拿大城市)
Ottawa,['ɔtəwə],渥太华(加拿大城市)
Quebec,[kwi'bek],魁北克(加拿大省名)
Montreal,[¸mɔntri'ɔ:l],n. 蒙特利尔(加拿大)
turkey,['tə:ki],火鸡
radium,['reidjəm],镭(金属元素)
physics,['fiziks],物理
chemistry,['kemistri],化学
graduate,['grædjueit¸ -dʒueit],毕业
Chicago,[ʃi'ka:gəu],芝加哥（美国中西部一大城市）
sail,[seil],航行
sailor,['seilə],船员
finish,['finiʃ],完成
alone,[ə'ləun],独自
zeppelin,['zepəlɪn] [¸tsepə'li:n],齐柏林飞艇
Germany,['dʒə:məni],德国
beauty,['bju:ti],美丽
magic,['mædʒik],有魔力的
agree,[ə'gri:],同意
kilometer,['kiləmi:tə],公里
follow,['fɔləu],跟随
continue,[kən'tinju:],继续
machine,[mə'ʃi:n],机器
lift,[lift],举起
hold,[həuld],拿住:抓住
sense,[sens],感觉到:检测到
volcano,[vɔl'keinəu],火山
construct,[kən'strʌkt],建造
wizard,['wizəd],男巫:术士
suddenly,['sʌdənlɪ],忽然
hit,[hit],打击:撞击
sly,[slai],狡猾的
cave,[keiv],洞穴
,,
